clean_name,Main Headquaters,Campaign,Description,Involvement,Sub-Category,Big-Category
Infinidome,Israel,afsc.org-profiting,InfiniDome develops GPS protection and anti-jamming solutions.,Provides GPS protection technology to Israeli military,Technology,Technology & Hi-tech
Ing Group,Netherlands,DBIO_creditor_report,Dutch multinational banking and financial services corporation,Loans and underwriting services,Financial Services,Finance & Insurance
Ingersoll Rand,USA,afsc.org-Divestment,An American multinational company that provides diversified industrial products and services,Defense,Industrial,Other
Intel,"USA, United States","bdsmovement.net, boycott-israel.org","Intel has invested heavily in Israel and built its plant on Palestinian land., Has multiple facilities in Israel and has developed several of its chips at its Israeli R&D centers. Intel's Fab 28 plant producing 7 nm chips is based in Kiryat Gat which is founded just west of the ruins of the Palestinian village of Iraq al-Manshiyya. On 26 December 2023, Intel announced its largest investment to dateóa $25 billion plan to construct a new chip factory in Israel.","Technology, Land Appropriation, Developed chips at Israeli R&D centers","Technology, Technology and Computers",Technology & Hi-tech
Intesa Sanpaolo,"Italy, Italy","DBIO_creditor_report, DBIO_investor_report","Italian banking group, Italian banking group","Loans and underwriting services, Bondholding, Shareholding","Financial Services, Financial Services",Finance & Insurance
Ispra - Israel Product Research,Israel,whoprofits.org,"Ispra is a private Israeli company that manufactures and markets non-lethal weapons and gear for crowd control and suppression.

","Private Security and Surveillance Technology, Specialized Equipment and Services","Military, Security and Surveillance",Defense & Security
Isra Marin Manufacture Of Structures 3000,Israel,whoprofits.org,"Manufactures prefabs, containers and modular constructions. Structures of the company were seen in several military checkpoints th","Israeli Construction on Occupied Land, The Wall and Checkpoints",Construction,Manufacturing & Industrial
Israel Aerospace Industries (Iai),Israel,afsc.org-profiting,Israel Aerospace Industries (IAI) is an Israeli state-owned aerospace and defense company.,Provides aerospace and defense technology to Israeli military,"Aerospace, Defense",Defense & Security
Israel Chemicals (Icl Group),Israel,DBIO_Listed_Business,Israeli multinational manufacturing company,"Manufacturing, Mining, Specialty Fertilizers",Chemicals and Fertilizers,Manufacturing & Industrial
Israel Disunt Bank,"Israel, Israel, Israel","DBIO_Listed_Business, afsc.org-Divestment, UN_Report","Israeli energy company, One of Israel's largest banks, involved in financing the construction of illegal settlements in the occupied Palestinian territories, Banking services","Shareholdings, Occupations, Banking and financial operations helping to develop, expand or maintain settlements and their activities","Energy, Banking, Banking","Energy & Utilities, Finance & Insurance, Finance & Insurance"
Israel Electric Rporation,Israel,afsc.org-Divestment,An Israeli state-owned company that generates and supplies electricity,Occupations,Utilities,Energy & Utilities
Israel Railways Rporation,Israel,UN_Report,Rail transportation,Use of natural resources; Pollution and dumping of waste,Transportation,Transportation & Travel
Israel Salt Mpany,Israel,whoprofits.org,"A private Israeli company for the production of sea salt products. The company is the largest Israeli producer of salt, accounting","Exploitation of Occupied Production and Resources, Settlement Production","Food Industry, Industrial Manufacturing",Agriculture & Food
Israeli Dates,Israel,ethicalconsumer.org,Dates grown in Israel.,Grown in illegal Israeli settlements.,Ethical Produce,Agriculture & Food
Israeli Produce In Supermarkets,Israel,ethicalconsumer.org,Produce grown in Israel.,Misleadingly labeled as ìProduct of Israelî and includes products from illegal settlements on stolen Palestinian land.,Ethical Supermarkets,Consumer Goods & Retail
Italek,Israel,UN_Report,Real estate and development,Services and utilities supporting the maintenance and existence of settlements; Use of natural resources,Real Estate,Construction & Real Estate
Itt,USA,afsc.org-Divestment,An American manufacturing company that produces engineered components and customized technology solutions,Defense,Industrial,Other
Itzkin Eyal  Architects,Israel,whoprofits.org,"An architecture firm.

The company has been planning various construction projects in dozens of settlements. Up until December 2",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Jc Bamford Excavators Limited (Jcb),UK,afsc.org-profiting,"J.C. Bamford Excavators Limited (JCB) is a British multinational corporation that manufactures equipment for construction, agriculture, waste handling, and demolition.",Provides construction equipment used in demolitions in Palestinian territories,Machinery,Manufacturing & Industrial
Jc Bamford Excavators,United Kingdom,UN_Report,Construction equipment manufacturer,"Supply of equipment and materials facilitating the construction and the expansion of settlements and the wall, and associated infrastructure",Manufacturing,Manufacturing & Industrial
Jcb Service,United Kingdom,ethicalconsumer.org,A British multinational corporation that manufactures equipment for construction and agriculture.,Machinery used by Israel in the ethnic cleansing and forced displacement of Palestinians.,Construction Equipment,Manufacturing & Industrial
Ja Solar Holdings,China,whoprofits.org,"JA solar Holdings is a Chinese corporation that designs, develops, manufactures and sells solar power products for residential, co",Israeli Construction on Occupied Land,"Electricity, Gas and Water Supply",Energy & Utilities
Jaguar Land Rover Automotive Plc,UK,whoprofits.org,"A Global Automotive manufacturer of the Jaguar and Land Rover brands.

Land Rover Defender fitted vehicles are widely used by th","Population Control, Specialized Equipment and Services",Industrial Manufacturing,Manufacturing & Industrial
Janus Henderson,United Kingdom,DBIO_investor_report,British investment management company,"Bondholding, Shareholding",Investment,Finance & Insurance
Jcb,"UK, UK","afsc.org-Divestment, bdsmovement.net","A British multinational corporation that manufactures equipment for construction, agriculture, waste handling, and demolition, JCB machinery is used in the destruction of Palestinian homes.","Occupations, Construction, Demolition","Construction, Construction",Manufacturing & Industrial
Jcb (Jc Bamford Excavators),UK,whoprofits.org,"The world&rsquo;s third largest construction equipment manufacturer, which manufactures equipment used in the agricultural, constr","Israeli Construction on Occupied Land, Population Control, Settlement Enterprise, Specialized Equipment and Services, The Wall and Checkpoints",Heavy Machinery,Manufacturing & Industrial
Jerusalem Bank,Israel,whoprofits.org,"
An Israeli commercial bank.

In 2021 and 2019, the bank accompanied the company Shlomo Cohen in its project in the settlement ","Israeli Construction on Occupied Land, Services to the Settlements",Finance,Finance & Insurance
Jerusalem Enomy,Israel,UN_Report,Real estate and property management,Use of natural resources,Real Estate,Construction & Real Estate
Jerusalem Winery,Occupied Palestinian Territory,whoprofits.org,Jerusalem Winery - Agricultural Cooperative Association is an Israeli winery&nbsp;based in the Atarot settlement industrial zone i,Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Jlg Industries,USA,whoprofits.org,"A US-based designer and manufacturer of access equipment.

In April 2013, Who Profits research team documented an&nbsp;aerial wo",Israeli Construction on Occupied Land,Heavy Machinery,Manufacturing & Industrial
Joe Gourmet Ffee,Israel,whoprofits.org,"A private Israeli chain of coffee shops.

Joe Gourmet Coffee holds branches in Delek gas stations and Menta convenience stores a",Services to the Settlements,Services to the Settlements,Consumer Goods & Retail
Jordan River Herbs,Occupied Palestinian Territory,whoprofits.org,"Growers and distributors of herbs and organic herbs.

The company&#39;s farm is located in the settlement of Mehola in the occup",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Jpmorgan Chase,United States,boycott-israel.org,JPMorgan has faces accusations of having significant financial relationships and business dealings with various Israeli companies and institutions. Critics argue that some of these entities are directly or indirectly involved in the occupation and the continuation of settlement activities in the West Bank.,Financial relationships with Israeli companies,Banking,Finance & Insurance
K-9 Solutions,Israel,whoprofits.org,A private Israeli provider and trainer of attack and sniffer dogs and dog handlers.&nbsp;The company&#39;s dogs and dog handlers h,"Private Security and Surveillance Technology, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Kalram Yabowitz,Israel,whoprofits.org,"Kalram is a global manufacturer and developer of advanced fencing systems and access control

The company develops and creates a","Services to the Settlements, The Wall and Checkpoints",Industrial Manufacturing,Manufacturing & Industrial
Kardan Nv,"Netherlands, Netherlands","UN_Report, whoprofits.org","Investment, A Netherlands-based investment group active in the sectors of real estate, water infrastructure and financial services.

Company","Services and utilities supporting the maintenance and existence of settlements, Israeli Construction on Occupied Land, Services to the Settlements","Investment, Electricity, Gas and Water Supply, Finance","Finance & Insurance, Energy & Utilities"
Kass Group (Kass ¬ñ C),"Israel, Occupied Palestinian Territory",whoprofits.org,"A private Israeli investment group which carries out real estate, infrastructure and technology projects in Israel, the occupied P","Israeli Construction on Occupied Land, Settlement Production","Construction, Real Estate",Manufacturing & Industrial
Kavim Public Transportation,"Israel, Israel","whoprofits.org, UN_Report","A private Israeli public transportation company.

The company operates public bus lines to Israeli settlements in the occupied W, Public transportation services","Services to the Settlements, Services and utilities supporting the maintenance and existence of settlements","Tourism, Transportation, Transportation","Transportation & Travel, Transportation & Travel"
Kbc Group,"Belgium, Belgium","DBIO_creditor_report, DBIO_investor_report","Belgian universal multi-channel bank, Belgian universal bank","Loans and underwriting services, Bondholding, Shareholding","Financial Services, Investment",Finance & Insurance
"Kbr,",USA,afsc.org-Divestment,"An American engineering, procurement, and construction company",Occupations,Engineering,Manufacturing & Industrial
Kedem Hadarim,Israel,whoprofits.org,"A marketer and exporter of organic and non-organic fruits and vegetables.

During a 2012 field tour, Who Profits documented the ",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Keter Plastic (Keter Group),Israel,whoprofits.org,"Manufactures and markets plastic furniture, household and garden products. Keter operates a&nbsp;factory in the settlement&#39;s i",Settlement Production,Industrial Manufacturing,Manufacturing & Industrial
Kfar Giladi Quarries,Israel,whoprofits.org,"An Israeli agricultural cooperative active in quarrying.

Kfar Giladi Quarries operates the Yatir Quarry in the occupied West Ba","Exploitation of Occupied Production and Resources, Settlement Production",Construction,Manufacturing & Industrial
Kfw,Germany,DBIO_creditor_report,German state-owned investment and development bank,Loans,Financial Services,Finance & Insurance
Kiryat Sefer (Diur Modi'In),Occupied Palestinian Territory,whoprofits.org,"A construction and development company specializing in construction for the Ultra-Orthodox public.

The company developed Kiryat",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Kotler Adika Building Mpany,Israel,whoprofits.org,A private Israeli construction and development company. Kotler Adika is involved in numerous construction and infrastructure proje,Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Kravitz,Israel,whoprofits.org,"A retail company that sells office supplies.

The company operates three branches in the occupied West Bank, two in Ariel settle",Services to the Settlements,Service Industry and Retail,Construction & Real Estate
Kvotzat Mifalei Jbrosh - Brosh Fibers (Formerly Ayelet Barkan),Occupied Palestinian Territory,whoprofits.org,"A private Israeli manufacturer and marketer of carpet yarns.

The company is based in the&nbsp;industrial zone of Barkan, locate",Settlement Production,Industrial Manufacturing,Manufacturing & Industrial
L-3 Mmunications,USA,whoprofits.org,"Provider of homeland defense products and services.

Supplied SafeView magnometric scanners for Gaza&#39;s Erez checkpoint throu","Specialized Equipment and Services, The Wall and Checkpoints","Industrial Manufacturing, Military, Security and Surveillance",Manufacturing & Industrial
L3Harris Technologies,"USA, USA","afsc.org-Divestment, afsc.org-profiting","An American technology company, defense contractor, and information technology services provider, L3Harris Technologies is an American technology company, defense contractor, and information technology services provider.","Occupations, Provides communication and defense technology to Israeli military","Defense, Defense",Defense & Security
La Banque Postale,"France, France","DBIO_creditor_report, DBIO_investor_report","French financial services company, French public financial institution","Loans, Bondholding, Shareholding","Financial Services, Financial Services",Finance & Insurance
La Caixa Group,Spain,DBIO_creditor_report,Spanish banking group,Loans,Financial Services,Finance & Insurance
Land Of Choice Olive Oil (Meshek Achiya),Occupied Palestinian Territory,whoprofits.org,"The company produces and markets olive oil.

The company is located in the settlement of Shilo, and operates an olive press in A",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Landesbank Baden-W√£¬ºRttemberg (Lbbw),Germany,DBIO_creditor_report,German universal bank,Loans and underwriting services,Financial Services,Finance & Insurance
Landesbank Hessen-Th√£¬ºRingen,Germany,DBIO_creditor_report,German universal bank,Loans and underwriting services,Financial Services,Finance & Insurance
Legal & General,United Kingdom,DBIO_investor_report,British multinational financial services company,"Bondholding, Shareholding",Financial Services,Finance & Insurance
Leidos Holdings,USA,afsc.org-Divestment,"An American defense, aviation, information technology, and biomedical research company",Occupations,Defense,Defense & Security
Leonardo,Italy,afsc.org-profiting,"Leonardo is an Italian multinational company specializing in aerospace, defense, and security.",Supplies defense systems and equipment to Israeli military,"Aerospace, Defense",Defense & Security
Leonardo Spa,"Italy, Italy","whoprofits.org, afsc.org-Divestment","A global industrial group that builds technological capabilities in Aerospace, Defense&nbsp;&amp; Security. The company is partial, An Italian multinational company specializing in aerospace, defense, and security","Population Control, Specialized Equipment and Services, Occupations","Military, Security and Surveillance, Aerospace, Defense","Defense & Security, Defense & Security"
Lesi,Israel,whoprofits.org,"Lesico is a publicly traded Israeli company specializing in complex infrastructure projects in fields such as energy, environment ","Israeli Construction on Occupied Land, Specialized Equipment and Services, The Wall and Checkpoints","Construction, Electricity, Gas and Water Supply, Military, Security and Surveillance, Transportation",Manufacturing & Industrial
Leumi Bank,Israel,whoprofits.org,"
An Israeli commercial bank.

In 2022, Bank Leumi granted the Israeli company Breeza Bagiva&#39;a a loan for a project in Alfei","Palestinian Captive Market, Services to the Settlements",Finance,Finance & Insurance
Leupold & Stevens,USA,afsc.org-profiting,"Leupold & Stevens is an American, family-owned, fifth-generation company that designs, manufactures, and assembles precision optical instruments.",Supplies optical sights to Israeli military,Optics,Consumer Goods & Retail
Lidor Real Estate Marketing,"Israel, Occupied Palestinian Territory",whoprofits.org,"A marketing company that specializes in real-estate.

The company operates branches in Maaleh Adumim and Anatot settlements.

","Israeli Construction on Occupied Land, Services to the Settlements",Real Estate,Construction & Real Estate
Liebherr International,"Germany, Switzerland",whoprofits.org,"A manufacturer of construction and mining equipment, specializing in cranes, aircraft parts and mining machinery.&nbsp;Liebherr pr","Israeli Construction on Occupied Land, The Wall and Checkpoints",Heavy Machinery,Manufacturing & Industrial
Lipski Installation And Sanitation,Israel,UN_Report,Installation and sanitation products,Use of natural resources,Sanitation,Energy & Utilities
Lloyds Banking Group,United Kingdom,DBIO_creditor_report,British financial institution,Loans and underwriting services,Financial Services,Finance & Insurance
Lockheed Martin,USA,afsc.org-profiting,"Lockheed Martin is an American aerospace, defense, arms, security, and advanced technologies company.",Provides military aircraft and technology to Israeli forces,"Aerospace, Defense",Defense & Security
Long Range Austic Device (Lrad),"Occupied Palestinian Territory, USA",whoprofits.org,"LRAD Corporation produces long range acoustic hailing devices&nbsp;(AHDs).

The company manufactures Long Range Acoustic Device ",Specialized Equipment and Services,Industrial Manufacturing,Manufacturing & Industrial
L'Or√©al,"France, France","boycott-israel.org, ethicalconsumer.org","L'OrÈal has faced scrutiny and calls for boycotts in the past due to supporting Israel, particularly during conflicts involving Israel and Palestine. This scrutiny has often revolved around donations of products to women serving in the Israeli Defense Forces or other actions that are seen as supportive of Israel., A French personal care company.","Support for Israel, donations to Israeli Defense Forces, Support for Israel, donations to Israeli Defense Forces","Others, Make-Up",Other
L'Or√©al Sub-Brand,France,boycott-israel.org,"These are sub-brands under L'OrÈal, a French personal care company that is a global leader in beauty products.",LancÙme-Yves Saint Laurent-Giorgio Armani-Kiehlís-Urban Decay-Biotherm-Maybelline New York-Garnier-NYX Professional Makeup-KÈrastase-Redken-La Roche Posay-Vichy-SkinCeuticals-CeraVe,Others,Other
Lorenzetto Loris,Italy,whoprofits.org,"An Italian-based company that provides equipment for civil engineering, geotechnical projects and underground structures.

In Ap",Israeli Construction on Occupied Land,"Heavy Machinery, Industrial Manufacturing",Manufacturing & Industrial
M&G,United Kingdom,DBIO_investor_report,British investment management firm,"Bondholding, Shareholding",Investment,Finance & Insurance
Mga Energy Solutions,"Israel, Occupied Palestinian Territory",whoprofits.org,"Installs and establishes electricity power stations.

The company provided its services as an engineering and constructor at the","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land","Construction, Electricity, Gas and Water Supply",Manufacturing & Industrial
Mr Hunter,Israel,whoprofits.org,The company supplies rescue and warfare equipment to security forces. It is the exclusive representative of the US-based company C,Specialized Equipment and Services,"Industrial Manufacturing, Military, Security and Surveillance",Manufacturing & Industrial
Maavarim Civil Engineering,Israel,whoprofits.org,Maavarim Civil Engineering is a private security company which provides civil engineering and homeland security services. The comp,"Private Security and Surveillance Technology, Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Magal Security Systems,Israel,afsc.org-Divestment,An Israeli company that develops and supplies perimeter security systems and solutions,Security,Security,Other
Magalm,Israel,whoprofits.org,"A private Israeli company operating in integrative communication, computing and security solutions and services and data security.",Private Security and Surveillance Technology,"Military, Security and Surveillance",Defense & Security
Magen Nstructional Engineering Works,Israel,whoprofits.org,"A private Israeli construction company.

The company was involved is the construction of schools in the settlements of Har Adar,","Israeli Construction on Occupied Land, Services to the Settlements",Construction,Manufacturing & Industrial
Magna Bsp,Israel,whoprofits.org,"A private Israeli company specializing in surveillance systems operated with cameras, electro-optic radars and thermal imaging tec","Private Security and Surveillance Technology, Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Malam Team,Israel,whoprofits.org,"Malam Team is an Israeli IT services group that provides computer services in the field of information technology. &nbsp;

The c","Population Control, Specialized Equipment and Services, The Wall and Checkpoints",Hi-tech,Technology & Hi-tech
Maman Cargo Terminals And Handling,Israel,whoprofits.org,"A publicly traded Israeli provider of logistics and aviation services.

The Group&rsquo;s subsidiaries provide cargo management ","Israeli Construction on Occupied Land, Palestinian Captive Market",Other,Services & Miscellaneous
Man Group,"United Kingdom, United States","DBIO_investor_report, DBIO_Listed_Business","British alternative investment management company, American multinational food manufacturing company","Bondholding, Shareholding, Loans, Underwriting, Bondholdings, Shareholdings","Insurance, Food and Beverage",Finance & Insurance
Manitou,France,whoprofits.org,"A French-based company that provides handling, lifting and earthmoving solutions.

Company cranes have been used in the construc",The Wall and Checkpoints,Heavy Machinery,Manufacturing & Industrial
Mantech International,USA,afsc.org-Divestment,An American defense contractor that provides technology solutions to the US government,Defense,Defense,Defense & Security
Maoz Daniel,Israel,whoprofits.org,"A private Israeli company that specializes in development, planning and construction.

The company is involved in a construction",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Margolin Bros,Israel,whoprofits.org,"A private Israeli engineering and consulting company specializing in project and construction management.

2018-2023, the compan",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
"Marom Tuval ¬ñ Nsulting, Management And Investments",Israel,whoprofits.org,"A civil engineering company that manages railways, road and underground transport infrastructure projects. The company specializes","Israeli Construction on Occupied Land, Services to the Settlements",Transportation,Transportation & Travel
Matrix It,"Israel, Israel, Israel","DBIO_Listed_Business, whoprofits.org, UN_Report","Israeli telecommunications company, An Israeli IT Group providing software services and marketing hardware and software products.

The company provides services for, Information technology services","Shareholdings, Settlement Enterprise, Specialized Equipment and Services, Services and utilities supporting the maintenance and existence of settlements; Use of natural resources","Telecommunications, Hi-tech, Information Technology","Technology & Hi-tech, Technology & Hi-tech"
Max B√∂gl Stiftung &,Germany,whoprofits.org,"One of the largest construction companies in the German construction industry.

On February 2015, the company won&nbsp;a tender ",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Mayer Cars & Trucks,Israel,whoprofits.org,"A private Israeli vehicles and transportation company. The company imports and markets cars, trucks, buses, engines, and heavy mec","Services to the Settlements, Settlement Enterprise, Settlement Production, Specialized Equipment and Services","Heavy Machinery, Military, Security and Surveillance, Tourism, Transportation",Manufacturing & Industrial
Mayer Davidov Garages,Israel,UN_Report,Automotive services,Services and utilities supporting the maintenance and existence of settlements; Use of natural resources,Automotive,Transportation & Travel
Mayer√¢¬Ä¬ôS Cars And Trucks,Israel,UN_Report,Automotive,Services and utilities supporting the maintenance and existence of settlements,Automotive,Transportation & Travel
Mcafee,United States,boycott-israel.org,"A global cybersecurity company with various business interests in Israel, McAfee offers comprehensive internet security solutions.",Various business interests in Israel,Cybersecurity,Technology & Hi-tech
Mcdonald√¢¬Ä¬ôS,USA,bdsmovement.net,McDonald‚Äôs franchisees in Israel have openly supported apartheid Israel and/or provided generous in-kind donations to the Israeli military.,"Fast Food, Military Support",Fast Food,Other
Mcdonalds,United States,boycott-israel.org,Has multiple restaurants in Israel and of one their largest investors donates large amounts to different causes in Israel. McDonald's also provided free meals to Israeli troops amid war with Hamas. McDonald's from other middle eastern country has also donated money to support civilians in Gaza.,"Multiple restaurants in Israel, donations to causes in Israel",Food and Beverages,Agriculture & Food
Mcdonald'S Rporation,United States,ethicalconsumer.org,A global fast food restaurant chain.,"Donated meals and beverages to Israeli military personnel, accused of supporting genocide against Palestinians in Gaza.",Restaurant Chains,Agriculture & Food
Mdt Armor,USA,whoprofits.org,"The company develops and provides armored vehicles for military, law enforcement and civilian use worldwide.

The company is a k",Specialized Equipment and Services,"Industrial Manufacturing, Military, Security and Surveillance",Manufacturing & Industrial
Mdt Armor (Shladot),Israel,afsc.org-profiting,MDT Armor (Shladot) manufactures armored vehicles and protection solutions.,Supplies armored vehicles to Israeli military,Defense,Defense & Security
Medan ¬ñ Roads And Quarries (1964),Israel,whoprofits.org,A private Israeli company active in the fields of quarrying and operates asphalt factories and emulsions. The company is a recogni,"Economic Exploitation, Exploitation of Occupied Production and Resources, Settlement Enterprise, Settlement Production","Construction, Industrial Manufacturing",Manufacturing & Industrial
Mehadrin,Israel,whoprofits.org,"Mehadrin is Israel&rsquo;s largest grower and exporter of citrus, avocado, dates, and other fruits and vegetables.

The company ","Economic Exploitation, Exploitation of Labor, Settlement Enterprise, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Mei-Tal Engineering And Services,Israel,whoprofits.org,"A private Israeli construction company.

The company is involved in two construction projects in Har Homa settlement neighborhoo",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Meitarim Quarry,Israel,whoprofits.org,The company is active in the field of civil engineering and development. The Group manages several companies and subsidiaries in t,"Exploitation of Occupied Production and Resources, Services to the Settlements, Settlement Production",Construction,Manufacturing & Industrial
Mekorot Water Mpany,Israel,UN_Report,Water supply company,Use of natural resources,Utilities,Energy & Utilities
Menorah Mivtahim Holdings,Israel,whoprofits.org,"A publicly-traded Israeli company operating in the all fields relating to life insurance, pension, general insurance and health in","Economic Exploitation, Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Population Control, Settlement Enterprise, Specialized Equipment and Services",Finance,Finance & Insurance
Meprolight,"Israel, Occupied Palestinian Territory",whoprofits.org,"A manufacturer and supplier of Electro-optical and Optical Sights, Self-illuminated Sights for pistols, shotguns and rifles, Night",Specialized Equipment and Services,"Military, Security and Surveillance",Defense & Security
Mercantile Disunt Bank,"Israel, Israel","whoprofits.org, UN_Report","A commercial bank, which is a fully owned subsidiary of&nbsp;Israel Discount bank.

Mercantile Discount Bank accompanies constru, Banking services","Services to the Settlements, Banking and financial operations helping to develop, expand or maintain settlements and their activities","Finance, Banking","Finance & Insurance, Finance & Insurance"
Mercedes-Benz Group Ag,Germany,afsc.org-profiting,Mercedes-Benz Group AG is a German multinational automotive corporation.,Provides vehicles used by Israeli military,Automotive,Transportation & Travel
Merkavim Transportation Technologies,"Israel, Israel","whoprofits.org, UN_Report","A private Israeli bus manufacturer. The company develops, designs and manufactures different bus models including shielded buses a, Transportation technologies","Population Control, Services to the Settlements, Settlement Enterprise, Specialized Equipment and Services, Services and utilities supporting the maintenance and existence of settlements","Heavy Machinery, Industrial Manufacturing, Transportation, Transportation","Manufacturing & Industrial, Transportation & Travel"
Mery Building Works Ntracting Mpany,Occupied Palestinian Territory,whoprofits.org,A private Israeli construction and development company. The company&#39;s head office is located in the settlement neighborhood of,Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Meshek Energy-Renewable Energies,Israel,whoprofits.org,"Through its fully owned subsidiary, Meitarim Sun L.P., the company owns the Meitarim Solar Field located in the Meitarim settlemen","Economic Exploitation, Exploitation of Occupied Production and Resources",Renewable Energy,Energy & Utilities
Mey Eden (Eden Springs),Israel,whoprofits.org,"Mey Eden Ltd. is an Israeli bottled mineral water marketing company that extracts and distributes mineral water.

Mey Eden is pa","Exploitation of Occupied Production and Resources, Settlement Production","Electricity, Gas and Water Supply, Food Industry",Energy & Utilities
Meytag High Tech Ventures,Occupied Syrian Golan,whoprofits.org,"Technology accelerator incubator, mainly for the bio-medical industry.

The company is located in Katzrin, an Israeli settlement","Services to the Settlements, Settlement Production","Hi-tech, Other, Pharmaceutical",Technology & Hi-tech
Micron,United States,boycott-israel.org,One of Micron's factories is based in Kiryat Gat which is founded just west of the ruins of an old Palestinian village.,Factory in Kiryat Gat,Technology and Computers,Technology & Hi-tech
Microsoft,"United States, USA","boycott-israel.org, whoprofits.org","Acquired several Israeli startups and has a large R&D presence in the country specializes in cybersecurity and AI technologies. Microsoft has a history of deep engagement with the Israeli high-tech industry and close ties to the Israeli military. In 2023, Microsoft is expected to open the first Cloud Datacenter Region in Israel., An American multinational technology corporation. One of the world&rsquo;s largest IT companies, developing software products, ser","Acquired Israeli startups, R&D presence, Population Control, Services to the Settlements, Settlement Enterprise, Specialized Equipment and Services","Technology and Computers, Hi-tech","Technology & Hi-tech, Technology & Hi-tech"
Mifalei Tuff- Agricultural Operative Society,Occupied Syrian Golan,whoprofits.org,"The Cooperative is active in the development, production, and marketing of potting soils and substrates.

Meifalei Tuff cooperat","Economic Exploitation, Exploitation of Occupied Production and Resources, Settlement Enterprise, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Mifram Group,Israel,whoprofits.org,"A private Israeli company that develops security and defense products.

The company provides security equipment to the Israeli a","Specialized Equipment and Services, The Wall and Checkpoints","Industrial Manufacturing, Military, Security and Surveillance",Manufacturing & Industrial
Migdal Insurance And Financial Holdings,Israel,whoprofits.org,"A publicly-traded Israeli company operating in the fields of insurance, pensions and financial services.

Financing settlement t","Israeli Construction on Occupied Land, Services to the Settlements, Specialized Equipment and Services",Finance,Finance & Insurance
Mikud Guarding Security Services & Cleaning,Israel,whoprofits.org,"A private Israeli company that provides security, human resources and cleaning and maintenance services.

In 2017, the company w","Private Security and Surveillance Technology, Services to the Settlements","Military, Security and Surveillance",Defense & Security
Minrav Group,Israel,whoprofits.org,"A group of companies specializing in construction and engineering services, managed by the publicly traded Israeli company Minrav ","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Services to the Settlements","Construction, Renewable Energy",Manufacturing & Industrial
Mishab Building And Development,Israel,whoprofits.org,"A private construction company mainly for the Jewish religious sector.

As part of a contract with the Israeli Civil Administrat",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Mishkan Eliyahu Nstruction And Investment Mpany,Israel,whoprofits.org,"A private Israeli development and construction company.

Mishkan Eliyahu builds housing and commercial projects in settlements i",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Mitsubishi Motors Rporation,Japan,whoprofits.org,"A publicly traded Japanese corporation that designs, develops and manufactures motor vehicles.

Mitsubishi vehicles are used by ","Services to the Settlements, Settlement Enterprise, Specialized Equipment and Services",Industrial Manufacturing,Manufacturing & Industrial
Mivne Group,Israel,DBIO_Listed_Business,Israeli conglomerate holding company,Shareholdings,Conglomerate,Services & Miscellaneous
Mizrahi Tefahot Bank,"Israel, Israel, Mexico, Occupied Palestinian Territory, Israel","DBIO_Listed_Business, whoprofits.org, UN_Report","Israeli electronics company, An Israeli commercial bank.

The bank accompanies construction projects in settlements constructed on occupied Palestinian terri, Banking services","Shareholdings, Palestinian Captive Market, Services to the Settlements, Banking and financial operations helping to develop, expand or maintain settlements and their activities","Electronics, Finance, Banking","Technology & Hi-tech, Finance & Insurance"
Modi√¢¬Ä¬ôIn Ezrachi Group,Israel,UN_Report,Security services,"Services and utilities supporting the maintenance and existence of settlements; Security services, equipment and materials to enterprises operating in settlements",Security,Other
Modi'In Ezrachi,Israel,whoprofits.org,"A private Israeli security group that provides security and guarding, armed courier and patrol and surveillance services. The comp","Private Security and Surveillance Technology, Services to the Settlements, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Moked Matara,Israel,whoprofits.org,"A private Israeli security and surveillance company.

In 2016, the company signed an agreement with the Oranit local settlement ","Private Security and Surveillance Technology, Services to the Settlements","Industrial Manufacturing, Military, Security and Surveillance",Manufacturing & Industrial
